"season","conference","o_rtg","d_rtg"
"2000                                              ",EAST,103.59,104.17
"2000                                              ",WEST,104.54,103.91
"2001                                              ",EAST,101.72,102.85
"2001                                              ",WEST,104.43,103.19
"2002                                              ",EAST,103.24,104.03
"2002                                              ",WEST,105.88,105.06
"2003                                              ",WEST,104.59,103.37
"2003                                              ",EAST,102.61,103.90
"2004                                              ",WEST,104.58,103.19
"2004                                              ",EAST,101.12,102.56
"2005                                              ",EAST,105.01,105.98
"2005                                              ",WEST,107.12,106.17
"2006                                              ",EAST,106.35,106.69
"2006                                              ",WEST,106.08,105.71
"2007                                              ",EAST,105.35,106.23
"2007                                              ",WEST,107.53,106.64
"2008                                              ",WEST,108.25,107.37
"2008                                              ",EAST,106.71,107.56
"2009                                              ",WEST,108.45,108.79
"2009                                              ",EAST,108.08,107.66
"2010                                              ",EAST,106.71,107.09
"2010                                              ",WEST,108.44,108.01
"2011                                              ",EAST,105.93,106.73
"2011                                              ",WEST,108.58,107.72
"2012                                              ",WEST,106.02,105.44
"2012                                              ",EAST,103.16,103.76
"2013                                              ",EAST,104.68,105.76
"2013                                              ",WEST,106.99,105.93
"2014                                              ",WEST,108.37,106.84
"2014                                              ",EAST,104.93,106.45
"2015                                              ",EAST,104.25,105.39
"2015                                              ",WEST,107.03,105.91
"2016                                              ",EAST,105.53,105.82
"2016                                              ",WEST,107.25,106.97
"2017                                              ",EAST,107.97,108.71
"2017                                              ",WEST,109.65,108.85
"2018                                              ",WEST,108.98,108.60
"2018                                              ",EAST,108.25,108.61
"2019                                              ",EAST,109.60,110.40
"2019                                              ",WEST,111.20,110.41
"2020                                              ",EAST,109.47,110.33
"2020                                              ",WEST,111.53,111.03
"2021                                              ",WEST,112.93,112.52
"2021                                              ",EAST,111.78,112.14
"2022                                              ",EAST,112.23,112.08
"2022                                              ",WEST,111.71,111.82
